TRBC2012,Issues.0.RIC
"5210101019","AIR"
"5710201012","TYC"
"5130201014","AEPI.O"
"5220301011","CECE.O"
"5340305010","AAN"
"5240601011","AAL.O"
"5530102010","IZML.PK"
"5610201010","AHLHQ.PK"
"5620104010","ACET.O"
"5720101010","ACXM.O"
"5620104010","ABT"
"5610101010","ABMD.O"
"5720102012","ADBE.O"
"5620104012","AMAG.O"
"5220303010","AXMA.PK"
"5710101010","AMD"
"5620104010","AKRX.O"
"5110101010","APD"
"5610102016","ATRI.O"
"5110101010","ARG"
"5240502010","PSHR.PK"
"5240502010","MATX.K"
"5240601010","ALK"
"5410201014","ALCO.O"
"5320201010","AIN"
"5210101010","ATK"
"5540302012","ALX"
"5310102012","FSYS.O"
"5530102010","Y"
"5710101010","ALTR.O"
"5620104010","AGN"
"5210202015","ADPC.PK"
"5120201010","ACO"
"5120103010","AA"
"5610201015","GLOV.PK"
"5220301012","ECOL.O"
"5010203010","HES"
"5410102012","BEAM.K"
"5220304016","ABM"
"5910101010","AEP"
"5510103010","AXP"
"5530103010","AFL"
"5530101010","ANAT.O"
"5110103010","APFC.O^B14"
"5530102010","AIG"
"5720102013","AMSWA.O"
"5110102010","AVD"
"5320302016","AMWD.O"
"5620104012","AMGN.O"
"5540201014","ARL"
"5720101010","ZIXI.O"
"5210101010","ASEI.O"
"5210201012","ASYS.O"
"5610101014","ALOG.O"
"5120201010","AXIH.OB"
"5210101010","ANEN.O^B14"
"5210203010","AME"
"5320302010","APOG.O"
"5710601010","AAPL.O"
"5210201015","AP"
"5220304010","AXR"
"5710102011","AMAT.O"
"5210201010","ATU"
"5120102011","ARSD.K"
"5010202010","APC"
"5710101010","ADI.O"
"5310101010","ACAT.O"
"5220102010","ANGC.PK"
"5510101010","AROW.O"
"5530101012","AON"
"5010202010","APA"
"5910301011","ARTNA.O"
"5410202010","ADM"
"5130102010","MERC.O"
"5010302010","ENSV.K"
"5310102011","EXCL.PK"
"5510101011","ASBC.O"
"5210202011","ASTE.O"
"5210101014","ATRO.O"
"5710101010","ARW"
"5530101012","AJG"
"5010301010","ATW"
"5110109010","ASH"
"5710101010","ATML.O"
"5720102012","ADSK.O"
"5910201011","GAS"
"5540201014","AVHI.O"
"5130201014","ATPL.PK"
"5210203010","AZZ"
"5210101010","BEAV.O"
"5910201010","ATO"
"5330102016","PNRA.O"
"5340305012","REX"
"5340301014","VOXX.O"
"5340301010","AZO"
"5540201010","NOTE.PK"
"5220303012","ADP.O"
"5220306010","AVY"
"5710401010","AVT"
"5110103010","BCPC.O"
"5420102010","AVP"
"5510101011","BOH"
"5510101010","BXS"
"5220304027","BATCZ.PK"
"5540303010","BRE"
"5540304015","BRT"
"5210201014","BMI"
"5010302010","BHI"
"5130201010","BLL"
"5510101010","BPOP.O"
"5320404013","BSET.O"
"5510202010","BK"
"5610102010","BCR"
"5210201010","B"
"5210203013","BELFA.O"
"5720101010","BRTR.PK"
"5320203010","DFZ.O"
"5010202010","HNR"
"5530102010","WRB"
"5610102010","BAX"
"5210201024","AIT"
"5610102011","BDX"
"5610201015","BRLI.O"
"5610102010","BMRA.OB"
"5130201010","BMS"
"5710101010","BHE"
"5530102010","BRKa"
"5340305010","BBY"
"5330102012","BOBE.O"
"5610101010","FDNU.PK"
"5610102010","BIO"
"5320202012","NNCP.PK"
"5220304010","BRC"
"5910401010","BKH"
"5210201022","BLT"
"5220304014","MSGI.PK"
"5130102012","RFP"
"5510101010","BMTC.O"
"5310102012","BGG"
"5620104010","BMY"
"5410203010","VGR"
"5720101010","CACI.K"
"5410102010","BFb"
"5320203010","BWS"
"5210205010","BC"
"5120105016","MTRN.K"
"5510101011","CPF"
"5340304014","CACH.O"
"5220301010","CCC"
"5810102010","CAMP.O"
"5220303012","CDI"
"5910301010","CWT"
"5910401010","CMS"
"5120106011","KJFI.OB"
"5530102010","CNA"
"5340309021","CSS"
"5240503010","CSX"
"5210203013","CTS"
"5510101010","CVBF.O"
"5220301010","SMTQQ.PK"
"5720101010","CITI.PK"
"5330202013","CVC"
"5610102015","CMN"
"5110103010","CBT"
"5010202010","COG"
"5550101010","CSWC.O"
"5540304015","BXMT.K"
"5430101010","CAH"
"5620104010","CBM"
"5330104011","CKEC.O"
"5410202010","CPB"
"5410102011","STZ"
"5430102012","CASY.O"
"5540304015","CMO"
"5340304014","CATO.K"
"5540302012","CDR"
"5620104012","CELG.O"
"5610201010","AIRM.O"
